ID,category,Case_w,Case_wo,NoCNV_Control_w,NoCNV_Control_wo,LargeRare_Control_w,LargeRare_Control_wo,NEJM_Control_w,NEJM_Control_wo
47780,node,0,217,1,87794,0,4106,0,2210
47810,node,0,217,30,87765,4,4102,2,2208
47830,node,0,217,2,87793,0,4106,0,2210
47840,node,0,217,10,87785,0,4106,0,2210
47860,node,0,217,13,87782,2,4104,1,2209
47870,node,2,215,523,87272,21,4085,13,2197
47890,node,0,217,1,87794,0,4106,0,2210
47900,node,0,217,14,87781,0,4106,0,2210
47910,node,0,217,1,87794,0,4106,0,2210
47950,node,0,217,31,87764,2,4104,1,2209
47960,node,5,212,1038,86757,49,4057,38,2172
47980,node,0,217,1,87794,0,4106,0,2210
48000,node,0,217,1,87794,0,4106,0,2210
48010,node,1,216,8,87787,0,4106,0,2210
48030,node,0,217,2,87793,0,4106,0,2210
48040,node,0,217,9,87786,0,4106,0,2210
48060,node,0,217,4,87791,0,4106,1,2209
48070,node,0,217,2,87793,0,4106,0,2210
48090,node,0,217,16,87779,0,4106,0,2210
48130,node,0,217,22,87773,1,4105,1,2209
48140,node,0,217,158,87637,6,4100,3,2207
48150,node,0,217,55,87740,5,4101,0,2210
48160,node,0,217,306,87489,12,4094,7,2203
48170,node,0,217,125,87670,3,4103,4,2206
48180,node,0,217,50,87745,1,4105,1,2209
48200,node,0,217,6,87789,1,4105,1,2209
48210,node,0,217,27,87768,1,4105,1,2209
48220,node,0,217,25,87770,2,4104,0,2210
48230,node,0,217,1,87794,0,4106,0,2210
48240,node,0,217,191,87604,11,4095,5,2205
48260,node,0,217,4,87791,1,4105,0,2210
48270,node,0,217,41,87754,2,4104,1,2209
48290,node,0,217,4,87791,0,4106,1,2209
48300,node,0,217,10,87785,0,4106,0,2210
48310,node,0,217,11,87784,1,4105,0,2210
48320,node,0,217,56,87739,1,4105,5,2205
48330,node,0,217,10,87785,0,4106,1,2209
48350,node,0,217,1,87794,0,4106,0,2210
48360,node,0,217,12,87783,0,4106,1,2209
48370,node,0,217,7,87788,0,4106,1,2209
48380,node,0,217,78,87717,4,4102,2,2208
48390,node,0,217,17,87778,0,4106,0,2210
48400,node,0,217,1,87794,0,4106,0,2210
48410,node,0,217,62,87733,5,4101,2,2208
48430,node,0,217,3,87792,0,4106,0,2210
48450,node,0,217,1,87794,0,4106,0,2210
48460,node,0,217,50,87745,5,4101,2,2208
48470,node,0,217,20,87775,0,4106,1,2209
48480,node,1,216,556,87239,20,4086,16,2194
48490,node,0,217,232,87563,10,4096,4,2206
48500,node,0,217,63,87732,1,4105,1,2209
48520,node,1,216,52,87743,1,4105,1,2209
48530,node,0,217,9,87786,0,4106,1,2209
48540,node,2,215,39,87756,0,4106,2,2208
48550,node,0,217,31,87764,0,4106,1,2209
48560,node,0,217,5,87790,0,4106,0,2210
48580,node,0,217,2,87793,0,4106,1,2209
48590,node,0,217,5,87790,0,4106,0,2210
48600,node,0,217,33,87762,2,4104,1,2209
48610,node,0,217,9,87786,0,4106,0,2210
48620,node,0,217,54,87741,4,4102,0,2210
48630,node,0,217,9,87786,1,4105,0,2210
48650,node,0,217,2,87793,0,4106,0,2210
48660,node,0,217,18,87777,2,4104,1,2209
48670,node,0,217,113,87682,6,4100,6,2204
48680,node,0,217,7,87788,0,4106,0,2210
48690,node,0,217,3,87792,0,4106,0,2210
48700,node,0,217,88,87707,3,4103,2,2208
48710,node,0,217,25,87770,3,4103,0,2210
48720,node,0,217,11,87784,1,4105,0,2210
48730,node,0,217,40,87755,1,4105,0,2210
48740,node,0,217,23,87772,1,4105,1,2209
48760,node,0,217,24,87771,2,4104,1,2209
48770,node,0,217,132,87663,4,4102,4,2206
48780,node,0,217,44,87751,3,4103,2,2208
48790,node,0,217,89,87706,3,4103,0,2210
48810,node,1,216,198,87597,7,4099,6,2204
48820,node,0,217,4,87791,0,4106,0,2210
48830,node,0,217,103,87692,2,4104,6,2204
48850,node,0,217,1,87794,1,4105,0,2210
48860,node,0,217,22,87773,0,4106,0,2210
48870,node,0,217,8,87787,0,4106,0,2210
48880,node,0,217,27,87768,2,4104,2,2208
48890,node,0,217,554,87241,19,4087,11,2199
48910,node,1,216,87,87708,10,4096,3,2207
48920,node,0,217,3,87792,0,4106,0,2210
48930,node,0,217,1,87794,0,4106,0,2210
48940,node,0,217,2,87793,0,4106,0,2210
48950,node,0,217,1,87794,0,4106,0,2210
48960,node,0,217,1,87794,0,4106,0,2210
48970,node,0,217,7,87788,0,4106,0,2210
48980,node,0,217,198,87597,6,4100,2,2208
48990,node,0,217,83,87712,1,4105,2,2208
49000,node,5,212,2826,84969,144,3962,74,2136
49020,node,13,204,3191,84604,165,3941,78,2132
49030,node,14,203,5041,82754,243,3863,142,2068
49050,node,0,217,63,87732,1,4105,2,2208
49060,node,5,212,1533,86262,77,4029,49,2161
49070,node,1,216,629,87166,32,4074,20,2190
49080,node,0,217,8,87787,0,4106,0,2210
49090,node,1,216,164,87631,11,4095,3,2207
49100,node,0,217,51,87744,5,4101,0,2210
49110,node,0,217,89,87706,5,4101,3,2207
49120,node,2,215,969,86826,47,4059,33,2177
49130,node,2,215,363,87432,15,4091,18,2192
49140,node,0,217,169,87626,9,4097,6,2204
49180,node,0,217,10,87785,1,4105,0,2210
49200,node,0,217,23,87772,0,4106,0,2210
49210,node,0,217,2,87793,0,4106,0,2210
49230,node,0,217,87,87708,3,4103,0,2210
49240,node,0,217,57,87738,3,4103,1,2209
49250,node,0,217,9,87786,0,4106,0,2210
49260,node,0,217,2,87793,0,4106,0,2210
49270,node,0,217,88,87707,2,4104,0,2210
49280,node,7,210,1173,86622,50,4056,31,2179
49300,node,0,217,32,87763,1,4105,2,2208
49310,node,0,217,9,87786,0,4106,0,2210
49320,node,0,217,2,87793,0,4106,0,2210
49330,node,0,217,76,87719,4,4102,3,2207
49340,node,0,217,75,87720,2,4104,3,2207
49350,node,0,217,33,87762,0,4106,1,2209
49360,node,0,217,7,87788,0,4106,0,2210
49370,node,0,217,98,87697,5,4101,0,2210
49380,node,4,213,656,87139,38,4068,24,2186
49400,node,0,217,1,87794,1,4105,0,2210
49430,node,0,217,5,87790,0,4106,0,2210
49440,node,0,217,6,87789,0,4106,0,2210
49450,node,0,217,1,87794,0,4106,0,2210
49460,node,0,217,2,87793,0,4106,0,2210
49470,node,0,217,9,87786,0,4106,0,2210
49480,node,0,217,116,87679,10,4096,0,2210
49530,node,0,217,1,87794,0,4106,0,2210
49540,node,0,217,4,87791,0,4106,0,2210
49550,node,0,217,1,87794,0,4106,0,2210
49570,node,0,217,2,87793,0,4106,0,2210
49580,node,0,217,15,87780,0,4106,1,2209
49590,node,2,215,814,86981,28,4078,23,2187
49600,node,0,217,158,87637,8,4098,3,2207
49610,node,0,217,235,87560,18,4088,8,2202
