"type","id","control","case_n","control_n","cc_est","cc_err","cc_p","sex_est","sex_err","sex_p"
"Sub-block","X156690","LargeRare_Control",217,4106,0.0565911649702342,0.425444534676722,0.894180290404978,-0.251337987323596,0.194875892498151,0.197143167597605
"Sub-block","X190730","LargeRare_Control",217,4106,-0.344427370322143,0.514140841178353,0.502916058108619,0.00189185183586879,0.194340166077762,0.992232920445946
"Sub-block","X186060","LargeRare_Control",217,4106,-14.806654135561,1186.12943834662,0.990040130925985,1.0381426135245,0.601748317577078,0.0844895148691158
"Sub-block","X97750","LargeRare_Control",217,4106,-14.042422271102,1202.73237627249,0.990684563249147,0.224350949518074,0.817101295759755,0.783647137559332
"Sub-block","X190040","LargeRare_Control",217,4106,-13.9428274806774,1982.98004666495,0.99438992079879,0.224130447605747,1.41456236923872,0.874106093772706
"Sub-block","X143960","LargeRare_Control",217,4106,-0.204531901312907,1.02401626823107,0.84168783009104,0.38971036291395,0.410837947207844,0.342837111778221
"Sub-block","X53180","LargeRare_Control",217,4106,-13.9428274806685,1982.98004666499,0.994389920798794,0.224130447605724,1.41456236923874,0.874106093772721
"Sub-block","X138530","LargeRare_Control",217,4106,-17.0923660547215,13263.1150787001,0.998971755041946,17.9936195646364,4378.78002097542,0.996721280637614
"Sub-block","X139550","LargeRare_Control",217,4106,-17.0923660546269,13263.1150787886,0.998971755041958,17.9936195646352,4378.78002097309,0.996721280637612
"Sub-block","X125270","LargeRare_Control",217,4106,-14.1669215273786,1195.8165451174,0.990547627395292,-0.693366743630323,0.83725023091436,0.407586932496725
"Sub-block","X141070","LargeRare_Control",217,4106,-0.0174274314408914,1.02861185431781,0.986482351724956,0.628156619010726,0.457478441741178,0.16972603722622
"Sub-block","X92070","LargeRare_Control",217,4106,-17.0923660546907,13263.115078777,0.998971755041954,17.9936195646341,4378.78002097463,0.996721280637613
"Sub-block","X76640","LargeRare_Control",217,4106,-13.942827480677,1982.9800466654,0.994389920798792,0.224130447605746,1.41456236923872,0.874106093772707
"Sub-block","X100530","LargeRare_Control",217,4106,-14.1141611518329,1171.73219512984,0.990389272400873,-1.5698234486605,1.08058060845729,0.146290616399304
"Sub-block","X117610","LargeRare_Control",217,4106,-16.0378815632642,8170.8670212576,0.998433903056138,-16.7638157534438,2962.23390284394,0.995484651511766
"Sub-block","X120960","LargeRare_Control",217,4106,-17.0923660546865,13263.1150787692,0.998971755041953,17.9936195646343,4378.78002097531,0.996721280637614
"Sub-block","X136330","LargeRare_Control",217,4106,-16.1370748567211,4955.14747936453,0.997401590935585,-16.8632801031753,1796.66309688819,0.992511254161885
"Sub-block","X56240","LargeRare_Control",217,4106,0.226848899324325,0.733740184435484,0.757193823708567,0.346447882967942,0.355550512659055,0.329858718500455
"Sub-block","X127220","LargeRare_Control",217,4106,-16.037881563264,8170.86702125703,0.998433903056138,-16.7638157534434,2962.23390284348,0.995484651511765
"Sub-block","X189420","LargeRare_Control",217,4106,-14.7370435647095,1202.72269885957,0.990223710487365,0.224682520508793,0.578206482468592,0.697582966966866
"Sub-block","X125600","LargeRare_Control",217,4106,-16.7313268751593,8170.29354258812,0.998366073630603,-17.4573888822171,2962.21522734638,0.995297809455748
"Sub-block","X141320","LargeRare_Control",217,4106,-17.0923660546718,13263.1150787774,0.998971755041955,17.9936195646351,4378.78002097494,0.996721280637614
"Sub-block","X191340","LargeRare_Control",217,4106,0.00410096290974946,1.0284780303108,0.996818516076222,-0.40113988133246,0.469825156398014,0.393212083892193
"Sub-block","X124790","LargeRare_Control",217,4106,-16.0378815632641,8170.86702125764,0.998433903056138,-16.763815753444,2962.2339028442,0.995484651511766
"Sub-block","X115860","LargeRare_Control",217,4106,-16.7313268751593,8170.29354258794,0.998366073630603,-17.4573888822166,2962.21522734579,0.995297809455747
"Sub-block","X189490","LargeRare_Control",217,4106,0.672000229764657,0.747615651918515,0.368728358620303,1.13779961072264,0.484028205808895,0.018738705998697
"Sub-block","X49150","LargeRare_Control",217,4106,-16.037881563264,8170.86702125715,0.998433903056138,-16.7638157534436,2962.23390284376,0.995484651511765
